year,country,elo,group,points,bracket,knockouts
2018,Sweden,1864,F,6,13,1
2018,Switzerland,1878,E,5,14,0
2018,Colombia,1938,H,6,15,0
2018,England,1913,G,6,16,2
2018,Germany,1963,F,3,,
2018,Peru,1891,C,3,,
2018,Iran,1816,B,4,,
2018,Poland,1782,H,3,,
2018,Serbia,1781,E,3,,
2018,Senegal,1760,H,4,,
2018,South Korea,1756,F,3,,
2018,Costa Rica,1725,E,1,,
2018,Morocco,1718,B,1,,
2018,Australia,1713,C,1,,
2018,Iceland,1708,D,1,,
2018,Nigeria,1702,D,3,,
2018,Tunisia,1657,G,3,,
2018,Panama,1592,G,0,,
2018,Saudi Arabia,1586,A,3,,
2018,Egypt,1569,A,0,,
2014,Brazil,2138,A,7,1,2
2014,Chile,1920,B,6,2,0
2014,Colombia,1922,C,9,3,1
2014,Uruguay,1918,D,6,4,0
2014,France,1896,E,7,5,1
2014,Nigeria,1727,F,4,6,0
2014,Germany,2073,G,7,7,4
2014,Algeria,1625,H,4,8,0
2014,Netherlands,1985,B,9,9,2
2014,Mexico,1814,A,7,10,0
2014,Costa Rica,1711,D,7,11,1
2014,Greece,1823,C,4,12,0
2014,Argentina,2018,F,9,13,3
2014,Switzerland,1854,E,6,14,0
2014,Belgium,1851,H,9,15,1
2014,United States,1857,G,4,16,0
2014,Spain,2107,B,3,,
2014,Portugal,1942,G,4,,
2014,England,1931,D,1,,
2014,Italy,1887,D,3,,
2014,Ecuador,1836,E,4,,
2014,Russia,1848,H,2,,
2014,Croatia,1818,A,3,,
2014,Bosnia and Herzegovina,1785,F,3,,
2014,Ivory Coast,1772,C,3,,
2014,Japan,1785,C,1,,
2014,Ghana,1704,G,1,,
2014,Iran,1715,F,1,,
2014,Australia,1708,B,0,,
2014,South Korea,1667,H,1,,
2014,Honduras,1668,E,0,,
2014,Cameroon,1606,A,0,,
2010,Uruguay,1883,A,7,1,2
2010,South Korea,1745,B,4,2,0
2010,United States,1768,C,5,3,0
2010,Ghana,1768,D,4,4,1
2010,Netherlands,2097,E,9,5,3
2010,Slovakia,1672,F,4,6,0
2010,Brazil,2095,G,7,7,1
2010,Chile,1881,H,4,8,0
2010,Argentina,1962,B,9,9,1
2010,Mexico,1857,A,4,10,0
2010,Germany,2061,D,6,11,2
2010,England,1915,C,5,12,0
2010,Paraguay,1779,F,5,13,1
2010,Japan,1760,E,6,14,0
2010,Spain,2164,H,6,15,4
2010,Portugal,1886,G,5,16,0
2010,Italy,1848,F,2,,
2010,Serbia,1805,D,3,,
2010,Switzerland,1783,H,4,,
2010,Australia,1782,D,4,,
2010,France,1776,A,1,,
2010,Ivory Coast,1763,G,4,,
2010,Denmark,1729,E,3,,
2010,Greece,1706,B,3,,
2010,Slovenia,1699,C,4,,
2010,Honduras,1697,H,1,,
2010,Nigeria,1678,B,1,,
2010,Cameroon,1636,E,0,,
2010,South Africa,1618,A,4,,
2010,New Zealand,1581,F,3,,
2010,Algeria,1535,C,1,,
2010,North Korea,1494,G,0,,
2006,Germany,1895,A,9,1,2
2006,Sweden,1859,B,5,2,0
2006,Argentina,1922,C,7,3,1
2006,Mexico,1839,D,4,4,0
2006,Italy,1943,E,7,5,4
2006,Australia,1798,F,4,6,0
2006,Switzerland,1800,G,7,7,0
2006,Ukraine,1790,H,6,8,1
2006,England,1972,B,7,9,1
2006,Ecuador,1700,A,6,10,0
2006,Portugal,1915,D,9,11,2
2006,Netherlands,1994,C,7,12,0
2006,Brazil,2034,F,9,13,1
2006,Ghana,1616,E,6,14,0
2006,Spain,1964,H,9,15,0
2006,France,1971,G,5,16,3
2006,Czechia,1971,E,3,,
2006,Croatia,1837,F,2,,
2006,Poland,1822,A,3,,
2006,Ivory Coast,1766,C,3,,
2006,Paraguay,1779,B,3,,
2006,United States,1824,E,1,,
2006,Iran,1841,D,1,,
2006,Japan,1789,F,1,,
2006,South Korea,1743,G,4,,
2006,Serbia and Montenegro,1800,C,0,,
2006,Tunisia,1703,H,1,,
2006,Costa Rica,1724,A,0,,
2006,Angola,1565,D,2,,
2006,Trinidad and Tobago,1567,B,1,,
2006,Saudi Arabia,1554,H,1,,
2006,Togo,1488,G,0,,
